TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
12,Manual,TC12_Verify Form Versioning Information_Inland Marine_New Business_R1_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 displays complete versioning and form metadata information,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Versioning Info,Done,Middle Market,CAMS-1863,High,Positive
12,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
12,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
12,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
12,,,,5. Verify form version information is displayed,5. The form should display version information (03/25 edition) in the UI,,,,,,
12,,,,6. Verify form name is displayed correctly,"6. The form name should display as ""Contractors equipment form 6356""",,,,,,
12,,,,7. Verify form coverage number ZC 6356 is displayed,"7. The coverage number ""ZC 6356"" should be displayed",,,,,,
13,Manual,TC13_Verify Old Form Version Not Attached_Inland Marine_New Business_R2,"The objective of this test case is to validate that when form ZC 6356 is selected, only the latest version is attached and old versions are not used",1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Old Form Exclusion,Done,Middle Market,CAMS-1863,Medium,Positive
13,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
13,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
13,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
13,,,,5. Navigate to documents section,5. User should be able to view the documents section,,,,,,
13,,,,6. Verify attached form is latest 03/25 edition only,6. Only the latest 03/25 edition should be attached; old versions should not be present,,,,,,
14,Manual,TC14_Verify Form Persistence in Line Selection_Inland Marine_New Business_R2,The objective of this test case is to validate that the selected form ZC 6356 persists when navigating back to line selection and returning to Inland Marine screen,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Persistence,Done,Middle Market,CAMS-1863,Medium,Positive
14,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
14,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
14,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
14,,,,5. Navigate back to line selection screen,5. User should be able to navigate back successfully,,,,,,
14,,,,6. Return to Inland Marine screen,6. User should be able to navigate back to Inland Marine screen,,,,,,
14,,,,7. Verify form ZC 6356 remains selected,7. Form ZC 6356 should still be selected with latest 03/25 edition,,,,,,
15,Manual,TC15_Verify Form Attachment in Price Quote Flow_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 remains properly attached and displays correct version through the Price-Quote flow,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Price Quote,Done,Middle Market,CAMS-1863,High,Positive
15,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
15,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
15,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
15,,,,5. Fill all mandatory fields and navigate to Price screen,5. User should be able to navigate to Price screen,,,,,,
15,,,,6. Verify form ZC 6356 is attached with latest version,6. Form ZC 6356 should be visible with latest 03/25 edition,,,,,,
15,,,,7. Click Quote and verify form is included in quote document,7. The generated quote document should include the latest form ZC 6356,,,,,,
16,Manual,TC16_Verify Form Attachment in Bind Flow_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 remains properly attached and displays correct version through the Bind process,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Bind Flow,Done,Middle Market,CAMS-1863,High,Positive
16,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
16,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
16,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
16,,,,5. Complete Price and Quote steps,5. User should be able to complete Price and Quote steps successfully,,,,,,
16,,,,6. Navigate to Bind screen and verify form is attached,6. Form ZC 6356 should be visible with latest 03/25 edition in Bind screen,,,,,,
16,,,,7. Bind the policy and verify form is included in binder document,7. The generated binder document should include the latest form ZC 6356,,,,,,
17,Manual,TC17_Verify Form Effective Date Alignment with August Release_Inland Marine_New Business_R3,The objective of this test case is to validate that form ZC 6356 effective date is correctly aligned with the August release date,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Release Date,Done,Middle Market,CAMS-1863,High,Positive
17,,,,2. Create a Domestic submission with effective date prior to August release,2. User should be able to create a submission with pre-August effective date,,,,,,
17,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
17,,,,4. Verify form ZC 6356 is not available for selection with pre-August effective date,4. Form ZC 6356 should not be available for policies with effective date before August,,,,,,
17,,,,5. Create another submission with effective date on or after August,5. User should be able to create a submission with August or later effective date,,,,,,
17,,,,6. Navigate to Inland Marine screen and verify form ZC 6356 is available,6. Form ZC 6356 should be available for policies with August or later effective date,,,,,,
18,Manual,TC18_Verify Form Deselection Removes Attachment_Inland Marine_New Business_R2,The objective of this test case is to validate that deselecting form ZC 6356 removes the form from attached documents,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Deselection,Done,Middle Market,CAMS-1863,Medium,Positive
18,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
18,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
18,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected and attached,,,,,,
18,,,,5. Deselect form ZC 6356,5. User should be able to deselect form ZC 6356,,,,,,
18,,,,6. Navigate to documents section and verify form is removed,6. Form ZC 6356 should be removed from the attached documents,,,,,,
19,Manual,TC19_Verify Form ZC 6356 in Multiple LOB Submission_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 is correctly handled when Inland Marine is selected with other LOBs,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Multiple LOB,Done,Middle Market,CAMS-1863,Medium,Positive
19,,,,2. Create a Domestic submission with Inland Marine and Property LOBs,2. User should be able to create a multi-LOB submission successfully,,,,,,
19,,,,3. Navigate to Inland Marine screen and select Contractors Equipment Coverage,3. User should be able to view the Inland Marine screen,,,,,,
19,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
19,,,,5. Navigate to Property screen and fill mandatory fields,5. User should be able to navigate to Property screen and fill fields,,,,,,
19,,,,6. Return to Inland Marine screen and verify form ZC 6356 is still selected,6. Form ZC 6356 should still be selected with latest 03/25 edition,,,,,,
19,,,,7. Verify form attachment persists in documents,7. Form ZC 6356 should be properly attached in the documents section,,,,,,
20,Manual,TC20_Verify Form Availability in Coverage Selection Dropdown_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 is available in the coverage selection dropdown and can be selected,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Coverage Dropdown,Done,Middle Market,CAMS-1863,High,Positive
20,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
20,,,,3. Navigate to Inland Marine screen and view coverage selection dropdown,3. User should be able to view the coverage selection dropdown,,,,,,
20,,,,4. Verify form ZC 6356 is listed in coverage options,4. Form ZC 6356 should be visible and available in the dropdown,,,,,,
20,,,,"5. Verify form description shows ""Contractors equipment form 6356""","5. The form description should display ""Contractors equipment form 6356""",,,,,,
20,,,,6. Select form ZC 6356 from the dropdown,6. User should be able to select form ZC 6356 successfully,,,,,,
