TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
19,,,,"6. Price the submission","6. Pricing should complete successfully",,,,,,
19,,,,"7. Verify payload contains form ZC 6356 with 03/25 edition","7. System payload should include form with edition date 03/25",,,,,,
19,,,,"8. Verify payload reflects midterm transaction type","8. Payload should correctly indicate midterm policy change transaction",,,,,,
20,Manual,TC20_Verify Form ZC 6356 Payload for Policy Change Out of Sequence_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 latest edition is sent in payload for Policy Change Out of Sequence transaction,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
20,,,,"2. Create a Policy Change Out of Sequence submission with Inland Marine LOB","2. User should be able to create a policy change out of sequence submission successfully",,,,,,
20,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
20,,,,"4. Select form ZC 6356","4. Form should be selected and auto-attached",,,,,,
20,,,,"5. Fill all mandatory fields","5. All required fields should be populated",,,,,,
20,,,,"6. Price the submission","6. Pricing should complete successfully",,,,,,
20,,,,"7. Verify payload contains form ZC 6356 with 03/25 edition","7. System payload should include form with edition date 03/25",,,,,,
20,,,,"8. Verify payload reflects out of sequence transaction type","8. Payload should correctly indicate out of sequence policy change",,,,,,
21,Manual,TC21_Verify Form ZC 6356 Payload for Policy Change Preemption_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 latest edition is sent in payload for Policy Change Preemption transaction,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
21,,,,"2. Create a Policy Change Preemption submission with Inland Marine LOB","2. User should be able to create a policy change preemption submission successfully",,,,,,
21,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
21,,,,"4. Select form ZC 6356","4. Form should be selected and auto-attached",,,,,,
21,,,,"5. Fill all mandatory fields","5. All required fields should be populated",,,,,,
21,,,,"6. Price the submission","6. Pricing should complete successfully",,,,,,
21,,,,"7. Verify payload contains form ZC 6356 with 03/25 edition","7. System payload should include form with edition date 03/25",,,,,,
21,,,,"8. Verify payload reflects preemption transaction type","8. Payload should correctly indicate preemption policy change",,,,,,
22,Manual,TC22_Verify Form ZC 6356 Attachment for Reinstatement with Quote_Inland Marine_Reinstatement_R2,The objective of this test case is to validate that form ZC 6356 latest edition is attached for Reinstatement transaction through quote generation,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
22,,,,"2. Create a Reinstatement submission with Inland Marine LOB","2. User should be able to create a reinstatement submission successfully",,,,,,
22,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
22,,,,"4. Select form ZC 6356","4. Form should be auto-attached with latest edition",,,,,,
22,,,,"5. Fill all mandatory fields","5. All required fields should be populated",,,,,,
22,,,,"6. Price and quote the submission","6. Pricing and quote should complete successfully",,,,,,
22,,,,"7. Verify form ZC 6356 with 03/25 edition is in quote","7. Quote document should include form with 03/25 edition",,,,,,
23,Manual,TC23_Verify Form ZC 6356 Attachment for Rewrite Full Term with Quote_Inland Marine_Rewrite Full Term_R2,The objective of this test case is to validate that form ZC 6356 latest edition is attached for Rewrite Full Term transaction through quote generation,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
23,,,,"2. Create a Rewrite Full Term submission with Inland Marine LOB","2. User should be able to create a rewrite full term submission successfully",,,,,,
23,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
23,,,,"4. Select form ZC 6356","4. Form should be auto-attached with latest edition",,,,,,
23,,,,"5. Fill all mandatory fields","5. All required fields should be populated",,,,,,
23,,,,"6. Price and quote the submission","6. Pricing and quote should complete successfully",,,,,,
23,,,,"7. Verify form ZC 6356 with 03/25 edition is in quote","7. Quote document should include form with 03/25 edition",,,,,,
24,Manual,TC24_Verify Form ZC 6356 Display on Deselection and Reselection_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 is correctly handled when user deselects and reselects the Contractors Equipment coverage,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,Medium,Positive
24,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
24,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
24,,,,"4. Select form ZC 6356","4. Form should be auto-attached",,,,,,
24,,,,"5. Verify form is attached in documents","5. Form should appear in documents list",,,,,,
24,,,,"6. Deselect Contractors Equipment Coverage","6. Coverage should be deselected",,,,,,
24,,,,"7. Verify form ZC 6356 is removed from documents","7. Form should be removed from documents when coverage is deselected",,,,,,
24,,,,"8. Reselect Contractors Equipment Coverage","8. Coverage should be reselected",,,,,,
24,,,,"9. Verify form ZC 6356 is auto-attached again with latest 03/25 edition","9. Form should be automatically re-attached with latest 03/25 edition",,,,,,
25,Manual,TC25_Verify Form ZC 6356 Availability Across Scope Types_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 is available for both Domestic and Produced scope types,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Display,Done,Middle Market,CAMS-1863,High,Positive
25,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a domestic submission successfully",,,,,,
25,,,,"3. Navigate to Inland Marine screen","3. Inland Marine configuration screen should display",,,,,,
25,,,,"4. Verify form ZC 6356 is available for Domestic scope","4. Form ZC 6356 should be listed in coverage options for Domestic scope",,,,,,
25,,,,"5. Create another Produced scope submission with Inland Marine LOB","5. Produced scope submission should be created successfully",,,,,,
25,,,,"6. Navigate to Inland Marine screen","6. Inland Marine configuration screen should display",,,,,,
25,,,,"7. Verify form ZC 6356 is available for Produced scope","7. Form ZC 6356 should be listed in coverage options for Produced scope",,,,,,
25,,,,"8. Verify form edition is 03/25 in both scopes","8. Both scopes should show form with latest 03/25 edition",,,,,,
26,Manual,TC26_Verify Form ZC 6356 Payload Consistency Across Transactions_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 payload format remains consistent across different transaction types,"1. Create New Business submission with Inland Marine and Contractors Equipment Coverage","1. Submission should be created successfully",,,,,,
1,,,,"2. Select form ZC 6356 and proceed to pricing","2. Pricing should complete successfully",,,,,,
26,,,,"3. Verify payload format for New Business (form code, edition date, version)","3. Payload should contain consistent form metadata: code ZC 6356, edition 03/25",,,,,,
26,,,,"4. Create Renewal submission with Inland Marine and Contractors Equipment Coverage","4. Renewal submission should be created successfully",,,,,,
26,,,,"5. Select form ZC 6356 and proceed to pricing","5. Pricing should complete successfully",,,,,,
26,,,,"6. Verify payload format for Renewal matches New Business format","6. Payload should contain same consistent form metadata format",,,,,,
26,,,,"7. Create Policy Change submission with Inland Marine and Contractors Equipment Coverage","7. Policy Change submission should be created successfully",,,,,,
26,,,,"8. Select form ZC 6356 and proceed to pricing","8. Pricing should complete successfully",,,,,,
26,,,,"9. Verify payload format for Policy Change matches other transaction types","9. Payload should maintain consistent format across all transaction types",,,,,,
27,Manual,TC27_Verify Form ZC 6356 Backend System Integration_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is correctly received and processed by backend system,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
27,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
27,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
27,,,,"4. Select form ZC 6356","4. Form should be auto-attached",,,,,,
27,,,,"5. Fill all mandatory fields and price the submission","5. Pricing should complete successfully",,,,,,
27,,,,"6. Verify backend system receives form ZC 6356 in payload","6. Backend should receive form code ZC 6356 in the payload",,,,,,
27,,,,"7. Verify backend receives correct edition date 03/25","7. Backend should process form with edition date 03/25",,,,,,
27,,,,"8. Verify backend confirms successful processing","8. Backend should acknowledge successful receipt and processing of form",,,,,,
28,Manual,TC28_Verify Form ZC 6356 Effective Date Validation_Inland Marine_New Business_R3,The objective of this test case is to validate that form ZC 6356 August release date effective date is correctly enforced,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Effective Date,Done,Middle Market,CAMS-1863,High,Positive
