TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
10,,,,4. Verify form ZC 6356 is available for cancel scenario,4. User should verify that form ZC 6356 is available and selectable,,,,,,
10,,,,"5. Verify edition date is ""03/25""","5. User should verify form edition date displays as ""03/25""",,,,,,
11,Manual,TC11_Verify Form ZC 6356 Auto-Attachment in Cancel_Inland Marine_Cancel_R2,The objective of this test case is to validate that form ZC 6356 is automatically attached in cancel transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Cancel Attach,Done,Middle Market,CAMS-1864,High,Positive
11,,,,2. Create a Domestic submission with Inland Marine LOB for cancel,2. User should be able to create a cancel submission successfully,,,,,,
11,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
11,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to documents,,,,,,
11,,,,5. Navigate to documents section,5. User should be able to view documents with attached form ZC 6356,,,,,,
11,,,,6. Verify attachment is latest 03/25 edition,6. User should verify the attached form is the latest 03/25 edition,,,,,,
12,Manual,TC12_Verify Form ZC 6356 Payload in Cancel Transaction_Inland Marine_Cancel_R3,The objective of this test case is to validate that form ZC 6356 is sent with correct version in cancel payload,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Cancel Payload,Done,Middle Market,CAMS-1864,High,Positive
12,,,,2. Create a Domestic submission with Inland Marine LOB for cancel,2. User should be able to create a cancel submission successfully,,,,,,
12,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
12,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
12,,,,"5. Verify payload contains edition date ""03/25""","5. System should send form with edition date ""03/25"" in the cancel payload",,,,,,
13,Manual,TC13_Verify Form ZC 6356 Display in Reinstatement Transaction_Inland Marine_Reinstatement_R1,The objective of this test case is to validate that form ZC 6356 displays correctly in reinstatement transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Reinstatement Display,Done,Middle Market,CAMS-1864,High,Positive
13,,,,2. Create a Domestic submission with Inland Marine LOB for reinstatement,2. User should be able to create a reinstatement submission successfully,,,,,,
13,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with reinstatement options,,,,,,
13,,,,4. Verify form ZC 6356 is available for reinstatement scenario,4. User should verify that form ZC 6356 is available and selectable,,,,,,
13,,,,"5. Verify edition date is ""03/25""","5. User should verify form edition date displays as ""03/25""",,,,,,
14,Manual,TC14_Verify Form ZC 6356 Auto-Attachment in Reinstatement_Inland Marine_Reinstatement_R2,The objective of this test case is to validate that form ZC 6356 is automatically attached in reinstatement transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Reinstate Attach,Done,Middle Market,CAMS-1864,High,Positive
14,,,,2. Create a Domestic submission with Inland Marine LOB for reinstatement,2. User should be able to create a reinstatement submission successfully,,,,,,
14,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
14,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to documents,,,,,,
14,,,,5. Navigate to documents section,5. User should be able to view documents with attached form ZC 6356,,,,,,
14,,,,6. Verify attachment is latest 03/25 edition,6. User should verify the attached form is the latest 03/25 edition,,,,,,
15,Manual,TC15_Verify Form ZC 6356 Payload in Reinstatement_Inland Marine_Reinstatement_R3,The objective of this test case is to validate that form ZC 6356 is sent with correct version in reinstatement payload,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Reinstate Payload,Done,Middle Market,CAMS-1864,High,Positive
15,,,,2. Create a Domestic submission with Inland Marine LOB for reinstatement,2. User should be able to create a reinstatement submission successfully,,,,,,
15,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
15,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
15,,,,"5. Verify payload contains edition date ""03/25""","5. System should send form with edition date ""03/25"" in the reinstatement payload",,,,,,
16,Manual,TC16_Verify Form ZC 6356 Display in Rewrite Transaction_Inland Marine_Rewrite_R1,The objective of this test case is to validate that form ZC 6356 displays correctly in rewrite transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Rewrite Display,Done,Middle Market,CAMS-1864,High,Positive
16,,,,2. Create a Domestic submission with Inland Marine LOB for rewrite,2. User should be able to create a rewrite submission successfully,,,,,,
16,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with rewrite options,,,,,,
16,,,,4. Verify form ZC 6356 is available for rewrite scenario,4. User should verify that form ZC 6356 is available and selectable,,,,,,
16,,,,"5. Verify edition date is ""03/25""","5. User should verify form edition date displays as ""03/25""",,,,,,
17,Manual,TC17_Verify Form ZC 6356 Auto-Attachment in Rewrite_Inland Marine_Rewrite_R2,The objective of this test case is to validate that form ZC 6356 is automatically attached in rewrite transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Rewrite Attach,Done,Middle Market,CAMS-1864,High,Positive
17,,,,2. Create a Domestic submission with Inland Marine LOB for rewrite,2. User should be able to create a rewrite submission successfully,,,,,,
17,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
17,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be automatically added to documents,,,,,,
17,,,,5. Navigate to documents section,5. User should be able to view documents with attached form ZC 6356,,,,,,
17,,,,6. Verify attachment is latest 03/25 edition,6. User should verify the attached form is the latest 03/25 edition,,,,,,
18,Manual,TC18_Verify Form ZC 6356 Payload in Rewrite_Inland Marine_Rewrite_R3,The objective of this test case is to validate that form ZC 6356 is sent with correct version in rewrite payload,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Rewrite Payload,Done,Middle Market,CAMS-1864,High,Positive
18,,,,2. Create a Domestic submission with Inland Marine LOB for rewrite,2. User should be able to create a rewrite submission successfully,,,,,,
18,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
18,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
18,,,,"5. Verify payload contains edition date ""03/25""","5. System should send form with edition date ""03/25"" in the rewrite payload",,,,,,
19,Manual,TC19_Verify Form ZC 6356 Not Replaced by Old Version_Inland Marine_New Business_R2,The objective of this test case is to validate that when form ZC 6356 is selected the old version is not attached instead of the latest edition,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Version Control,Done,Middle Market,CAMS-1864,High,Positive
19,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
19,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
19,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
19,,,,5. Navigate to documents section,5. User should be able to view the documents section,,,,,,
19,,,,6. Verify the attached form is NOT the old version,6. User should verify that the old version of form ZC 6356 is NOT attached; only 03/25 edition is present,,,,,,
19,,,,7. Confirm form edition is 03/25,7. Form edition date should display as ""03/25"" and not any previous version,,,,,,
20,Manual,TC20_Verify Form ZC 6356 Versioning Metadata_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 includes proper versioning metadata and form information,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Versioning Metadata,Done,Middle Market,CAMS-1864,High,Positive
20,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
20,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
20,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
20,,,,5. Verify form name is correct,5. User should verify form name displays as ""Contractors equipment form 6356"",,,,,,
20,,,,6. Verify form number is ZC 6356,6. Form number should display as ""ZC 6356"",,,,,,
20,,,,7. Verify form edition date and version metadata,7. Form should include complete metadata with edition date ""03/25"" and version information,,,,,,
21,Manual,TC21_Verify Form ZC 6356 Effective Date August Release_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 effective date is August release as per requirement,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Effective Date,Done,Middle Market,CAMS-1864,High,Positive
21,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
21,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
21,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected,,,,,,
21,,,,5. Verify form effective date information,5. User should verify that the form effective date corresponds to August release as per the requirement,,,,,,
22,Manual,TC22_Verify Form ZC 6356 Display with Produced Reinsurance_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 displays correctly when Produced scope defaults to Reinsurance,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Produced Reinsuranc,Done,Middle Market,CAMS-1864,High,Positive
22,,,,2. Create a Produced scope submission with Inland Marine LOB,2. User should be able to create a produced submission with Reinsurance default,,,,,,
22,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
22,,,,4. Select Contractors Equipment Coverage and verify form ZC 6356 availability,4. User should verify that form ZC 6356 is available and displays with correct version,,,,,,
22,,,,"5. Verify edition date is ""03/25"" in Reinsurance context","5. Form edition date should display as ""03/25"" in the Produced Reinsurance context",,,,,,
23,Manual,TC23_Verify Form ZC 6356 Pricing and Binding_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 is properly handled through pricing and binding process,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Price Bind,Done,Middle Market,CAMS-1864,High,Positive
23,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
23,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
23,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected and attached,,,,,,
23,,,,5. Fill all mandatory fields and Price the submission,5. User should be able to price the submission with form ZC 6356 attached,,,,,,
23,,,,6. Quote the submission,6. User should be able to generate quote with form ZC 6356 in document section,,,,,,
23,,,,7. Bind the submission,7. User should be able to bind the submission with form ZC 6356 included,,,,,,
23,,,,8. Verify form ZC 6356 is in bound documents,8. Form ZC 6356 with 03/25 edition should be present in final bound documents,,,,,,
24,Manual,TC24_Verify Form ZC 6356 Across Multiple Coverages_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 displays and attaches correctly when multiple Inland Marine coverages are selected,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Multiple Coverage,Done,Middle Market,CAMS-1864,High,Positive
24,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
24,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with multiple coverage options,,,,,,
24,,,,4. Select multiple coverages including Contractors Equipment,4. User should be able to select multiple coverages in Inland Marine,,,,,,
24,,,,5. Verify form ZC 6356 is available for Contractors Equipment,5. User should verify form ZC 6356 is available for Contractors Equipment coverage,,,,,,
24,,,,6. Select form ZC 6356 for Contractors Equipment,6. Form ZC 6356 should be selected and attached with 03/25 edition,,,,,,
24,,,,7. Verify other coverages are not affected,7. Other coverages should function normally without interference from form ZC 6356 selection,,,,,,
25,Manual,TC25_Verify Form ZC 6356 in Quote Document_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 appears correctly in the generated quote document,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Quote Document,Done,Middle Market,CAMS-1864,High,Positive
25,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
25,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
25,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be attached to the submission,,,,,,
25,,,,5. Fill all mandatory fields and Price the submission,5. User should be able to price the submission,,,,,,
25,,,,6. Generate the Quote,6. Quote document should be generated successfully,,,,,,
25,,,,7. Verify form ZC 6356 is included in quote,7. User should verify that form ZC 6356 with 03/25 edition is included in the quote document,,,,,,
25,,,,8. Verify form appears with correct metadata,8. Form should appear with correct form number ZC 6356 and edition date 03/25,,,,,,
26,Manual,TC26_Verify Form ZC 6356 in Binder Document_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 appears correctly in the generated binder document,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Binder Document,Done,Middle Market,CAMS-1864,High,Positive
26,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
26,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
26,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be attached,,,,,,
26,,,,5. Fill all mandatory fields and Price the submission,5. User should be able to price the submission,,,,,,
26,,,,6. Quote the submission,6. User should be able to generate quote with form ZC 6356,,,,,,
26,,,,7. Bind the submission,7. Binder document should be generated successfully,,,,,,
26,,,,8. Verify form ZC 6356 is in binder document,8. User should verify form ZC 6356 with 03/25 edition is included in the binder,,,,,,
26,,,,9. Verify form metadata in binder,9. Form should display with correct form number ZC 6356 and version information in binder,,,,,,
27,Manual,TC27_Verify Form ZC 6356 Version Consistency Across Documents_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 edition 03/25 is consistent across all documents (submission display form attachments quote and binder),1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Version Consistency,Done,Middle Market,CAMS-1864,High,Positive
27,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
27,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
27,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected with edition 03/25,,,,,,
27,,,,5. Verify edition date in UI display,5. Edition date should show as 03/25 in the UI,,,,,,
27,,,,6. Navigate to documents and verify attachment version,6. Attached form should show edition 03/25,,,,,,
27,,,,7. Price and Quote the submission,7. User should be able to price and quote with form ZC 6356,,,,,,
27,,,,8. Verify form in quote document,8. Quote document should contain form ZC 6356 with edition 03/25,,,,,,
27,,,,9. Bind the submission and verify form in binder,9. Binder document should contain form ZC 6356 with edition 03/25,,,,,,
27,,,,10. Verify API payload contains correct edition,10. System API payload should contain form ZC 6356 with edition 03/25 consistent across all documents,,,,,,
28,Manual,TC28_Verify Form ZC 6356 OOS Policy Change_Inland Marine_Policy Change OOS_R1,The objective of this test case is to validate that form ZC 6356 displays and attaches correctly in Out of Sequence policy change transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 PolicyChange OOS,Done,Middle Market,CAMS-1864,High,Positive
28,,,,2. Create a Domestic submission with Inland Marine LOB for OOS policy change,2. User should be able to create an OOS policy change submission successfully,,,,,,
28,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with OOS options,,,,,,
28,,,,4. Select Contractors Equipment Coverage,4. User should be able to select Contractors Equipment coverage,,,,,,
28,,,,5. Select form ZC 6356 from coverage options,5. Form ZC 6356 should be attached with 03/25 edition,,,,,,
28,,,,6. Verify form in documents section,6. Form ZC 6356 with latest version should be visible in documents,,,,,,
29,Manual,TC29_Verify Form ZC 6356 Renewal Transaction_Inland Marine_Renewal_R1,The objective of this test case is to validate that form ZC 6356 displays and attaches correctly in renewal transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Renewal,Done,Middle Market,CAMS-1864,High,Positive
29,,,,2. Create a Domestic submission with Inland Marine LOB for renewal,2. User should be able to create a renewal submission successfully,,,,,,
29,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with renewal options,,,,,,
29,,,,4. Select Contractors Equipment Coverage,4. User should be able to select Contractors Equipment coverage,,,,,,
29,,,,5. Select form ZC 6356 from coverage options,5. Form ZC 6356 should be attached with 03/25 edition,,,,,,
29,,,,6. Verify form in documents section,6. Form ZC 6356 with latest version should be visible in documents,,,,,,
30,Manual,TC30_Verify Form ZC 6356 Form Replacement Not Occurring_Inland Marine_New Business_R2,The objective of this test case is to validate that existing old version of form ZC 6356 is replaced with the latest 03/25 edition when new submission is created,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1864 Form Replacement,Done,Middle Market,CAMS-1864,High,Positive
30,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
30,,,,3. Navigate to Inland Marine screen and select Contractors Equipment,3. User should be able to view the Inland Marine screen,,,,,,
30,,,,4. Select form ZC 6356 from coverage options,4. Form ZC 6356 should be selected and only latest 03/25 edition should be available,,,,,,
30,,,,5. Verify old version is not in system,5. User should verify that old version of form is not presented to the user as an option,,,,,,
30,,,,6. Confirm only 03/25 edition is available,6. Only the latest 03/25 edition should be available for attachment in the system,,,,,,
